monster ID,monster type,number of arms,number of legs,power level,uuid
1938,zombie,0,1,34,1938
1939,dragon,2,2,80,1939
1940,dragon,2,4,97,1940
1941,spider,4,4,62,1941
1942,dragon,4,2,84,1942
1943,ghost,0,0,41,1943
1944,zombie,1,1,31,1944
1945,zombie,2,1,15,1945
1946,zombie,2,1,36,1946
1947,ghost,1,0,54,1947
1948,spider,4,4,39,1948
1949,spider,4,4,66,1949
1950,spider,4,4,50,1950
1951,goblin,2,2,18,1951
1952,spider,4,4,73,1952
1953,goblin,1,2,22,1953
1954,dragon,2,2,93,1954
1955,zombie,2,2,37,1955
1956,ghost,2,2,42,1956
1957,zombie,0,1,19,1957
1958,zombie,0,1,32,1958
1959,spider,4,4,44,1959
1960,spider,4,4,71,1960
1961,zombie,2,0,20,1961
1962,goblin,3,2,26,1962
1963,ghost,0,2,57,1963
1964,spider,4,4,68,1964
1965,ghost,2,0,37,1965
1966,goblin,1,2,29,1966
1967,ghost,2,0,45,1967
1968,goblin,4,2,27,1968
1969,ghost,1,2,39,1969
1970,goblin,3,2,25,1970
1971,goblin,4,2,11,1971
1972,goblin,4,2,15,1972
1973,ghost,1,2,42,1973
1974,zombie,1,1,40,1974
1975,dragon,4,4,88,1975
1976,zombie,1,1,33,1976
1977,dragon,2,2,94,1977
1978,goblin,4,2,12,1978
1979,ghost,0,2,57,1979
1980,dragon,4,4,88,1980
1981,ghost,1,0,54,1981
1982,ghost,0,2,37,1982
1983,spider,4,4,66,1983
1984,zombie,1,1,15,1984
1985,goblin,2,2,19,1985
1986,ghost,0,2,42,1986
1987,ghost,1,0,33,1987
1988,spider,4,4,36,1988
1989,zombie,2,1,12,1989
1990,zombie,0,2,10,1990
1991,goblin,4,2,21,1991
1992,dragon,4,2,96,1992
1993,goblin,1,2,10,1993
1994,ghost,0,0,53,1994
1995,zombie,1,1,26,1995
1996,goblin,2,2,23,1996
1997,ghost,0,2,34,1997
1998,dragon,4,4,94,1998
1999,dragon,2,4,89,1999
2000,goblin,2,2,24,2000
2001,zombie,2,2,23,2001
2002,dragon,2,4,88,2002
2003,zombie,1,2,13,2003
2004,dragon,4,2,83,2004
2005,dragon,4,4,80,2005
2006,dragon,2,2,85,2006
2007,dragon,4,2,89,2007
2008,dragon,2,4,100,2008
2009,spider,4,4,46,2009
2010,goblin,3,2,4,2010
2011,goblin,4,2,17,2011
2012,spider,4,4,66,2012
2013,zombie,2,2,16,2013
2014,zombie,0,1,32,2014
2015,goblin,3,2,21,2015
2016,spider,4,4,45,2016
2017,goblin,1,2,1,2017
2018,ghost,0,0,60,2018
2019,zombie,2,0,22,2019
2020,zombie,1,1,39,2020
2021,ghost,2,2,38,2021
2022,ghost,2,2,38,2022
2023,goblin,3,2,8,2023
2024,ghost,2,0,41,2024
2025,dragon,4,2,100,2025
2026,zombie,2,0,16,2026
2027,zombie,2,0,12,2027
2028,goblin,2,2,19,2028
2029,goblin,3,2,15,2029
2030,dragon,4,2,87,2030
2031,goblin,4,2,18,2031
2032,ghost,1,2,44,2032
2033,ghost,2,0,44,2033
2034,ghost,0,2,43,2034
2035,spider,4,4,69,2035
2036,dragon,2,2,88,2036
2037,zombie,0,1,30,2037
2038,spider,4,4,62,2038
2039,ghost,1,0,47,2039
2040,ghost,0,0,32,2040
2041,goblin,3,2,24,2041
2042,ghost,1,2,48,2042
2043,ghost,1,0,52,2043
2044,dragon,4,4,99,2044
2045,dragon,2,4,92,2045
2046,zombie,1,0,26,2046
2047,ghost,1,0,58,2047
2048,goblin,2,2,26,2048
2049,zombie,2,1,26,2049
2050,goblin,1,2,10,2050
2051,spider,4,4,56,2051
2052,spider,4,4,42,2052
2053,spider,4,4,70,2053
2054,zombie,1,1,10,2054
2055,goblin,3,2,13,2055
2056,ghost,1,2,42,2056
2057,goblin,1,2,18,2057
2058,ghost,2,2,36,2058
2059,zombie,0,2,38,2059
2060,dragon,2,2,100,2060
2061,goblin,3,2,25,2061
2062,goblin,1,2,24,2062
2063,goblin,3,2,20,2063
2064,spider,4,4,36,2064
2065,ghost,2,0,60,2065
2066,spider,4,4,37,2066
2067,spider,4,4,50,2067
2068,zombie,0,2,22,2068
2069,dragon,2,2,98,2069
2070,dragon,4,4,90,2070
2071,goblin,2,2,29,2071
2072,dragon,2,2,81,2072
2073,dragon,4,2,87,2073
2074,spider,4,4,50,2074
2075,goblin,1,2,13,2075
2076,spider,4,4,66,2076
2077,goblin,3,2,26,2077
2078,zombie,0,2,24,2078
2079,goblin,1,2,28,2079
2080,spider,4,4,61,2080
2081,ghost,0,0,40,2081
2082,ghost,0,2,48,2082
2083,ghost,1,0,35,2083
2084,dragon,2,4,80,2084
2085,dragon,2,4,89,2085
2086,dragon,4,2,96,2086
2087,zombie,1,0,27,2087
2088,zombie,0,0,17,2088
2089,spider,4,4,64,2089
2090,dragon,2,2,80,2090
2091,dragon,4,2,96,2091
2092,spider,4,4,58,2092
2093,ghost,0,2,43,2093
2094,spider,4,4,75,2094
2095,spider,4,4,54,2095
2096,ghost,1,2,31,2096
2097,goblin,1,2,19,2097
2098,dragon,4,2,95,2098
2099,goblin,2,2,17,2099
2100,zombie,1,1,23,2100
2101,dragon,4,2,93,2101
2102,goblin,2,2,3,2102
2103,dragon,2,4,89,2103
2104,zombie,0,1,22,2104
2105,goblin,4,2,6,2105
2106,spider,4,4,74,2106
2107,ghost,2,2,37,2107
2108,goblin,4,2,20,2108
2109,spider,4,4,57,2109
2110,spider,4,4,49,2110
2111,ghost,1,0,32,2111
2112,dragon,4,2,95,2112
2113,ghost,0,0,34,2113
2114,spider,4,4,49,2114
2115,zombie,2,0,34,2115
2116,ghost,0,0,39,2116
2117,goblin,2,2,21,2117
2118,spider,4,4,58,2118
2119,zombie,2,1,12,2119
2120,dragon,2,4,99,2120
2121,spider,4,4,47,2121
2122,spider,4,4,64,2122
2123,dragon,4,2,93,2123
2124,spider,4,4,48,2124
2125,spider,4,4,52,2125
2126,ghost,2,0,44,2126
2127,dragon,2,4,88,2127
2128,ghost,1,2,60,2128
2129,spider,4,4,44,2129
2130,ghost,1,2,36,2130
2131,spider,4,4,52,2131
2132,zombie,2,1,21,2132
2133,spider,4,4,66,2133
2134,zombie,0,0,29,2134
2135,zombie,0,0,23,2135
2136,zombie,1,0,36,2136
2137,ghost,1,2,40,2137
2138,dragon,2,2,85,2138
2139,ghost,2,2,44,2139
2140,ghost,1,0,36,2140
2141,ghost,2,0,50,2141
2142,dragon,4,4,100,2142
2143,goblin,2,2,16,2143
2144,ghost,1,2,60,2144
2145,goblin,3,2,4,2145
2146,spider,4,4,75,2146
2147,spider,4,4,71,2147
2148,goblin,1,2,21,2148
2149,zombie,1,0,15,2149
2150,dragon,4,4,85,2150
2151,dragon,2,4,99,2151
2152,zombie,2,2,15,2152
2153,dragon,2,4,80,2153
2154,dragon,2,2,81,2154
2155,ghost,2,0,41,2155
2156,dragon,2,4,87,2156
2157,zombie,1,2,38,2157
2158,goblin,4,2,5,2158
2159,ghost,0,0,55,2159
2160,spider,4,4,45,2160
2161,dragon,2,4,82,2161
2162,dragon,4,4,95,2162
2163,zombie,2,1,11,2163
2164,goblin,2,2,22,2164
2165,ghost,1,2,57,2165
2166,ghost,1,0,36,2166
2167,ghost,1,0,52,2167
2168,spider,4,4,36,2168
2169,zombie,2,0,12,2169
2170,goblin,2,2,5,2170
2171,dragon,4,2,95,2171
2172,dragon,2,4,92,2172
2173,dragon,4,4,82,2173
2174,goblin,1,2,3,2174
2175,ghost,0,0,32,2175
2176,zombie,0,0,14,2176
2177,zombie,2,1,27,2177
2178,spider,4,4,67,2178
2179,zombie,0,0,28,2179
2180,ghost,0,2,44,2180
2181,goblin,3,2,6,2181
2182,goblin,4,2,14,2182
2183,spider,4,4,71,2183
2184,zombie,2,2,33,2184
2185,spider,4,4,48,2185
2186,dragon,4,2,94,2186
2187,goblin,1,2,19,2187
2188,dragon,4,2,89,2188
2189,spider,4,4,55,2189
2190,zombie,0,0,26,2190
2191,spider,4,4,54,2191
2192,zombie,2,2,10,2192
2193,dragon,4,2,82,2193
2194,zombie,0,1,23,2194
2195,spider,4,4,65,2195
2196,goblin,2,2,8,2196
2197,zombie,1,0,22,2197
2198,ghost,2,0,39,2198
2199,dragon,2,4,83,2199
2200,spider,4,4,70,2200
2201,ghost,2,2,48,2201
2202,dragon,4,2,96,2202
2203,ghost,0,2,38,2203
2204,dragon,2,4,82,2204
2205,goblin,4,2,2,2205
2206,dragon,2,2,98,2206
2207,dragon,2,4,85,2207
2208,dragon,2,4,82,2208
2209,spider,4,4,70,2209
2210,spider,4,4,52,2210
2211,zombie,2,0,31,2211
2212,spider,4,4,40,2212
2213,dragon,4,4,89,2213
2214,goblin,2,2,4,2214
2215,zombie,1,1,36,2215
2216,ghost,1,2,39,2216
2217,goblin,3,2,1,2217
2218,spider,4,4,69,2218
2219,goblin,3,2,9,2219
2220,spider,4,4,72,2220
2221,zombie,1,2,29,2221
2222,spider,4,4,45,2222
2223,goblin,4,2,29,2223
2224,ghost,2,0,38,2224
2225,spider,4,4,74,2225
2226,spider,4,4,64,2226
2227,spider,4,4,56,2227
2228,ghost,1,0,42,2228
2229,zombie,0,2,22,2229
2230,zombie,1,2,22,2230
2231,spider,4,4,52,2231
2232,goblin,4,2,8,2232
2233,spider,4,4,56,2233
2234,spider,4,4,41,2234
2235,spider,4,4,64,2235
2236,goblin,2,2,19,2236
2237,zombie,2,2,11,2237
2238,spider,4,4,68,2238
2239,dragon,2,2,88,2239
2240,goblin,3,2,22,2240
2241,goblin,2,2,26,2241
2242,spider,4,4,74,2242
2243,spider,4,4,75,2243
2244,ghost,0,0,46,2244
2245,dragon,2,4,95,2245
2246,spider,4,4,36,2246
2247,goblin,4,2,14,2247
2248,dragon,2,2,88,2248
2249,goblin,3,2,3,2249
2250,dragon,2,4,90,2250
2251,zombie,1,0,14,2251
2252,spider,4,4,36,2252
2253,spider,4,4,75,2253
2254,dragon,4,4,87,2254
2255,zombie,2,0,12,2255
2256,dragon,4,4,85,2256
2257,ghost,0,2,55,2257
2258,zombie,0,2,36,2258
2259,zombie,2,1,15,2259
2260,ghost,0,2,52,2260
2261,goblin,3,2,3,2261
2262,zombie,0,2,10,2262
2263,spider,4,4,60,2263
2264,ghost,1,0,57,2264
2265,ghost,2,2,51,2265
2266,goblin,3,2,13,2266
2267,ghost,1,0,33,2267
2268,dragon,4,2,89,2268
2269,zombie,2,2,20,2269
2270,dragon,4,4,95,2270
2271,goblin,3,2,1,2271
2272,spider,4,4,53,2272
2273,zombie,2,2,33,2273
2274,goblin,2,2,6,2274
2275,spider,4,4,75,2275
2276,dragon,2,2,86,2276
2277,goblin,1,2,7,2277
2278,spider,4,4,65,2278
2279,goblin,2,2,19,2279
2280,zombie,2,1,36,2280
2281,spider,4,4,69,2281
2282,zombie,1,0,15,2282
2283,zombie,0,0,20,2283
2284,spider,4,4,55,2284
2285,spider,4,4,62,2285
2286,dragon,4,2,91,2286
2287,spider,4,4,45,2287
2288,zombie,1,2,31,2288
2289,goblin,2,2,23,2289
2290,ghost,1,0,40,2290
2291,dragon,2,2,94,2291
2292,spider,4,4,52,2292
2293,dragon,2,4,99,2293
2294,dragon,4,2,85,2294
2295,dragon,4,4,83,2295
2296,ghost,1,0,38,2296
2297,zombie,2,1,30,2297
2298,goblin,1,2,17,2298
2299,dragon,4,4,86,2299
2300,ghost,0,0,57,2300
2301,spider,4,4,48,2301
2302,zombie,0,2,28,2302
2303,dragon,2,4,96,2303
2304,ghost,0,2,50,2304
2305,ghost,1,2,38,2305
2306,ghost,1,2,33,2306
2307,goblin,3,2,16,2307
2308,ghost,2,0,30,2308
2309,spider,4,4,60,2309
2310,zombie,1,0,10,2310
2311,dragon,4,4,94,2311
2312,zombie,0,0,16,2312
2313,spider,4,4,37,2313
2314,goblin,3,2,29,2314
2315,goblin,1,2,30,2315
2316,ghost,0,0,35,2316
2317,zombie,0,1,12,2317
2318,zombie,0,0,40,2318
2319,spider,4,4,70,2319
2320,spider,4,4,48,2320
2321,goblin,1,2,27,2321
2322,spider,4,4,56,2322
2323,goblin,2,2,24,2323
2324,ghost,0,2,40,2324
2325,goblin,1,2,17,2325
2326,spider,4,4,55,2326
2327,zombie,0,2,25,2327
2328,spider,4,4,50,2328
2329,ghost,0,0,34,2329
2330,zombie,0,2,16,2330
2331,zombie,2,0,27,2331
2332,spider,4,4,40,2332
2333,zombie,0,0,29,2333
2334,goblin,3,2,9,2334
2335,goblin,1,2,29,2335
2336,zombie,2,1,39,2336
2337,goblin,2,2,20,2337
2338,ghost,2,2,40,2338
2339,zombie,0,2,18,2339
2340,zombie,0,0,40,2340
2341,dragon,4,2,94,2341
2342,zombie,0,0,25,2342
2343,ghost,0,0,32,2343
2344,spider,4,4,70,2344
2345,goblin,2,2,7,2345
2346,dragon,2,2,97,2346
2347,ghost,2,0,59,2347
2348,spider,4,4,53,2348
2349,spider,4,4,65,2349
2350,ghost,1,0,46,2350
2351,ghost,0,0,32,2351
2352,ghost,0,0,42,2352
2353,ghost,0,2,37,2353
2354,dragon,2,2,93,2354
2355,ghost,2,0,52,2355
2356,ghost,0,2,54,2356
2357,spider,4,4,72,2357
2358,dragon,2,2,98,2358
2359,dragon,4,4,99,2359
2360,dragon,2,2,93,2360
2361,goblin,1,2,10,2361
2362,zombie,1,1,40,2362
2363,ghost,1,2,58,2363
2364,dragon,4,4,93,2364
2365,zombie,1,1,23,2365
2366,zombie,0,2,40,2366
2367,dragon,4,4,99,2367
2368,goblin,4,2,1,2368
2369,dragon,2,4,83,2369
2370,ghost,2,0,53,2370
2371,goblin,2,2,26,2371
2372,dragon,2,4,92,2372
2373,zombie,1,2,23,2373
2374,dragon,4,4,98,2374
2375,goblin,2,2,0,2375
2376,spider,4,4,40,2376
2377,ghost,2,0,35,2377
2378,dragon,4,2,80,2378
2379,ghost,1,2,41,2379
2380,goblin,3,2,28,2380
2381,dragon,4,4,92,2381
2382,spider,4,4,69,2382
2383,ghost,1,2,34,2383
2384,zombie,1,1,24,2384
2385,ghost,1,0,33,2385
2386,goblin,3,2,22,2386
2387,zombie,1,0,31,2387
2388,dragon,4,4,97,2388
2389,ghost,0,0,44,2389
2390,ghost,1,0,48,2390
2391,dragon,2,4,85,2391
2392,dragon,2,4,84,2392
2393,ghost,1,0,41,2393
2394,ghost,0,2,49,2394
2395,ghost,1,2,59,2395
2396,goblin,3,2,24,2396
2397,goblin,3,2,6,2397
2398,ghost,2,0,60,2398
2399,goblin,3,2,4,2399
2400,goblin,2,2,6,2400
2401,goblin,3,2,28,2401
2402,spider,4,4,63,2402
2403,goblin,3,2,0,2403
2404,zombie,1,2,31,2404
2405,spider,4,4,65,2405
2406,spider,4,4,37,2406
2407,ghost,1,0,36,2407
2408,zombie,0,0,12,2408
2409,dragon,4,2,81,2409
2410,ghost,2,2,49,2410
2411,zombie,2,1,12,2411
2412,dragon,2,4,80,2412
2413,dragon,4,2,84,2413
2414,spider,4,4,60,2414
2415,spider,4,4,39,2415
2416,dragon,4,2,95,2416
2417,spider,4,4,54,2417
2418,spider,4,4,70,2418
2419,goblin,1,2,16,2419
2420,goblin,4,2,27,2420
2421,zombie,2,1,17,2421
2422,spider,4,4,64,2422
2423,zombie,2,2,37,2423
2424,ghost,1,0,38,2424
2425,spider,4,4,36,2425
2426,ghost,0,2,35,2426
2427,ghost,2,2,51,2427
2428,zombie,2,1,36,2428
2429,dragon,2,4,95,2429
2430,goblin,2,2,20,2430
2431,dragon,4,2,88,2431
2432,spider,4,4,37,2432
2433,zombie,0,0,37,2433
2434,goblin,3,2,27,2434
2435,ghost,0,0,46,2435
2436,spider,4,4,60,2436
2437,spider,4,4,72,2437
2438,goblin,4,2,27,2438
2439,zombie,2,2,26,2439
2440,goblin,1,2,18,2440
2441,goblin,3,2,10,2441
2442,goblin,2,2,1,2442
2443,goblin,2,2,10,2443
2444,dragon,2,2,100,2444
2445,goblin,1,2,9,2445
2446,dragon,2,4,96,2446
2447,ghost,1,0,36,2447
2448,goblin,3,2,27,2448
2449,zombie,0,2,28,2449
2450,spider,4,4,50,2450
2451,goblin,3,2,22,2451
2452,goblin,4,2,12,2452
2453,spider,4,4,45,2453
2454,zombie,0,1,17,2454
2455,dragon,2,4,80,2455
2456,spider,4,4,54,2456
2457,dragon,4,4,92,2457
2458,ghost,0,2,56,2458
2459,zombie,1,1,35,2459
2460,goblin,1,2,24,2460
2461,goblin,3,2,24,2461
2462,dragon,4,2,95,2462
2463,spider,4,4,50,2463
2464,ghost,2,2,55,2464
2465,dragon,4,2,85,2465
2466,zombie,0,2,21,2466
2467,spider,4,4,68,2467
2468,spider,4,4,53,2468
2469,zombie,1,2,32,2469
2470,spider,4,4,49,2470
2471,ghost,1,0,56,2471
2472,dragon,2,4,87,2472
2473,ghost,2,2,46,2473
2474,goblin,4,2,2,2474
2475,zombie,2,0,31,2475
2476,spider,4,4,67,2476
2477,dragon,2,2,89,2477
2478,ghost,1,0,50,2478
2479,ghost,0,0,58,2479
2480,zombie,1,1,23,2480
2481,ghost,2,2,37,2481
2482,zombie,0,0,23,2482
2483,goblin,2,2,23,2483
2484,spider,4,4,42,2484
2485,ghost,0,2,56,2485
2486,goblin,2,2,9,2486
2487,ghost,0,2,56,2487
2488,zombie,2,2,24,2488
2489,zombie,0,0,27,2489
2490,dragon,2,4,100,2490
2491,goblin,4,2,17,2491
2492,spider,4,4,58,2492
2493,dragon,2,4,91,2493
2494,goblin,2,2,26,2494
2495,spider,4,4,54,2495
2496,ghost,1,2,41,2496
2497,zombie,1,1,23,2497
2498,zombie,2,1,14,2498
2499,ghost,2,2,37,2499
2500,goblin,3,2,10,2500
2501,ghost,1,0,56,2501
2502,spider,4,4,47,2502
2503,spider,4,4,52,2503
2504,zombie,0,1,26,2504
2505,dragon,4,2,84,2505
2506,goblin,4,2,22,2506
2507,goblin,4,2,2,2507
2508,goblin,1,2,12,2508
2509,goblin,3,2,13,2509
2510,zombie,1,1,13,2510
2511,zombie,1,2,40,2511
2512,ghost,2,2,59,2512
2513,goblin,2,2,26,2513
2514,zombie,0,2,15,2514
2515,spider,4,4,72,2515
2516,goblin,4,2,26,2516
2517,dragon,4,2,85,2517
2518,spider,4,4,36,2518
2519,spider,4,4,51,2519
2520,goblin,1,2,13,2520
2521,zombie,2,0,28,2521
2522,zombie,0,0,31,2522
2523,goblin,1,2,13,2523
2524,goblin,4,2,15,2524
2525,spider,4,4,37,2525
2526,dragon,4,2,98,2526
2527,spider,4,4,75,2527
2528,ghost,0,0,38,2528
2529,goblin,2,2,19,2529
2530,zombie,1,2,27,2530
2531,dragon,4,4,95,2531
2532,spider,4,4,36,2532
2533,ghost,2,0,40,2533
2534,zombie,1,1,30,2534
2535,goblin,1,2,17,2535
2536,dragon,4,4,91,2536
2537,dragon,4,2,96,2537
2538,goblin,4,2,25,2538
2539,dragon,2,4,88,2539
2540,dragon,4,2,89,2540
2541,goblin,4,2,27,2541
2542,spider,4,4,44,2542
2543,zombie,1,2,29,2543
2544,zombie,1,1,40,2544
2545,goblin,4,2,19,2545
2546,ghost,0,0,45,2546
2547,zombie,0,1,24,2547
2548,ghost,1,0,58,2548
2549,zombie,2,2,33,2549
2550,zombie,2,1,23,2550
2551,zombie,0,0,23,2551
2552,dragon,2,4,85,2552
2553,dragon,2,4,99,2553
2554,ghost,1,2,47,2554
2555,dragon,2,2,93,2555
2556,zombie,2,2,32,2556
2557,ghost,0,2,46,2557
2558,spider,4,4,47,2558
2559,zombie,0,0,19,2559
2560,zombie,2,0,36,2560
2561,spider,4,4,59,2561
2562,zombie,1,0,22,2562
2563,ghost,2,2,57,2563
2564,ghost,2,0,34,2564
2565,dragon,2,2,85,2565
2566,spider,4,4,58,2566
2567,spider,4,4,55,2567
2568,dragon,4,4,87,2568
2569,ghost,0,0,34,2569
2570,ghost,1,0,46,2570
2571,zombie,2,0,14,2571
2572,spider,4,4,52,2572
2573,ghost,1,0,46,2573
2574,ghost,0,0,59,2574
2575,ghost,0,2,40,2575
2576,goblin,2,2,26,2576
2577,zombie,0,1,17,2577
2578,dragon,2,4,96,2578
2579,ghost,1,2,49,2579
2580,dragon,2,2,86,2580
2581,ghost,2,0,42,2581
2582,dragon,4,2,91,2582
2583,goblin,2,2,20,2583
2584,ghost,0,0,58,2584
2585,spider,4,4,37,2585
2586,spider,4,4,42,2586
2587,spider,4,4,49,2587
2588,dragon,4,2,85,2588
2589,ghost,0,0,55,2589
2590,dragon,2,2,88,2590
2591,ghost,0,0,40,2591
2592,dragon,4,4,86,2592
2593,dragon,4,2,100,2593
2594,zombie,1,0,15,2594
2595,ghost,1,0,38,2595
2596,zombie,0,2,13,2596
2597,ghost,0,2,39,2597
2598,spider,4,4,62,2598
2599,zombie,1,2,21,2599
2600,ghost,0,0,56,2600
2601,spider,4,4,41,2601
2602,spider,4,4,65,2602
2603,ghost,0,2,40,2603
2604,zombie,0,2,11,2604
2605,zombie,0,0,11,2605
2606,spider,4,4,61,2606
2607,ghost,1,0,54,2607
2608,zombie,2,2,37,2608
2609,dragon,2,4,95,2609
2610,zombie,2,1,32,2610
2611,zombie,0,1,27,2611
2612,goblin,3,2,30,2612
2613,zombie,0,0,17,2613
2614,dragon,2,2,91,2614
2615,spider,4,4,71,2615
2616,dragon,2,4,80,2616
2617,goblin,2,2,26,2617
2618,zombie,0,2,11,2618
2619,goblin,1,2,8,2619
2620,ghost,0,2,53,2620
2621,spider,4,4,56,2621
2622,ghost,1,0,54,2622
2623,zombie,2,2,18,2623
2624,spider,4,4,64,2624
2625,ghost,2,2,57,2625
2626,ghost,2,0,41,2626
2627,spider,4,4,50,2627
2628,dragon,2,4,87,2628
2629,ghost,0,2,40,2629
2630,ghost,2,0,42,2630
2631,dragon,2,2,87,2631
2632,zombie,2,0,40,2632
2633,goblin,4,2,12,2633
2634,goblin,3,2,1,2634
2635,spider,4,4,49,2635
2636,zombie,2,2,11,2636
2637,zombie,1,1,19,2637
2638,goblin,3,2,24,2638
2639,dragon,4,2,84,2639
2640,ghost,0,2,51,2640
2641,dragon,2,2,80,2641
2642,zombie,0,2,10,2642
2643,spider,4,4,56,2643
2644,spider,4,4,52,2644
2645,spider,4,4,70,2645
2646,zombie,1,2,28,2646
2647,goblin,3,2,27,2647
2648,ghost,2,2,50,2648
2649,zombie,1,0,22,2649
2650,goblin,3,2,12,2650
2651,goblin,1,2,1,2651
2652,spider,4,4,56,2652
2653,spider,4,4,52,2653
2654,ghost,0,0,33,2654
2655,goblin,3,2,18,2655
2656,goblin,3,2,13,2656
2657,dragon,4,4,81,2657
2658,goblin,4,2,18,2658
2659,ghost,2,2,56,2659
2660,dragon,2,4,86,2660
2661,goblin,1,2,22,2661
2662,zombie,1,1,24,2662
2663,dragon,4,4,85,2663
2664,zombie,1,1,18,2664
2665,goblin,4,2,24,2665
2666,zombie,0,2,40,2666
2667,goblin,4,2,17,2667
2668,dragon,2,4,86,2668
2669,zombie,0,1,21,2669
2670,ghost,2,2,37,2670
2671,dragon,2,4,80,2671
2672,dragon,2,2,85,2672
2673,ghost,2,0,56,2673
2674,spider,4,4,35,2674
2675,dragon,2,4,96,2675
2676,dragon,2,2,80,2676
2677,zombie,1,1,11,2677
2678,dragon,4,2,96,2678
2679,ghost,0,2,48,2679
2680,spider,4,4,44,2680
2681,goblin,4,2,12,2681
2682,ghost,1,2,53,2682
2683,goblin,3,2,7,2683
2684,dragon,2,2,91,2684
2685,spider,4,4,39,2685
2686,spider,4,4,61,2686
2687,zombie,2,0,23,2687
2688,ghost,0,2,36,2688
2689,ghost,1,0,35,2689
2690,goblin,3,2,1,2690
2691,zombie,1,2,14,2691
2692,spider,4,4,40,2692
2693,goblin,3,2,1,2693
2694,zombie,2,2,36,2694
2695,goblin,3,2,1,2695
2696,dragon,2,4,92,2696
2697,ghost,0,0,40,2697
2698,zombie,2,0,14,2698
2699,ghost,0,2,37,2699
2700,ghost,2,2,58,2700
2701,zombie,0,2,40,2701
2702,zombie,2,1,14,2702
2703,ghost,1,2,30,2703
2704,ghost,2,2,37,2704
2705,dragon,2,2,82,2705
2706,dragon,4,2,93,2706
2707,spider,4,4,47,2707
2708,dragon,2,4,92,2708
2709,spider,4,4,70,2709
2710,dragon,2,4,93,2710
2711,goblin,4,2,15,2711
2712,zombie,0,2,28,2712
2713,goblin,3,2,7,2713
2714,dragon,4,4,87,2714
2715,dragon,4,4,88,2715
2716,dragon,2,4,93,2716
2717,zombie,2,2,27,2717
2718,ghost,0,2,53,2718
2719,ghost,0,0,37,2719
2720,goblin,1,2,20,2720
2721,zombie,0,2,22,2721
2722,ghost,2,2,56,2722
2723,zombie,1,2,37,2723
2724,spider,4,4,48,2724
2725,ghost,2,2,32,2725
2726,ghost,0,2,42,2726
2727,zombie,0,0,13,2727
2728,zombie,0,2,37,2728
2729,ghost,0,0,31,2729
2730,ghost,2,0,58,2730
2731,spider,4,4,58,2731
2732,goblin,4,2,13,2732
2733,spider,4,4,44,2733
2734,zombie,1,0,30,2734
2735,spider,4,4,71,2735
2736,ghost,0,0,46,2736
2737,ghost,0,0,57,2737
2738,zombie,0,1,16,2738
2739,zombie,2,2,25,2739
2740,goblin,1,2,25,2740
2741,goblin,3,2,18,2741
2742,dragon,4,2,95,2742
2743,zombie,1,2,11,2743
2744,zombie,2,2,20,2744
2745,spider,4,4,65,2745
2746,dragon,4,2,84,2746
2747,ghost,1,2,35,2747
2748,spider,4,4,59,2748
2749,ghost,0,0,46,2749
2750,dragon,2,2,98,2750
2751,zombie,1,1,23,2751
2752,dragon,4,2,87,2752
2753,zombie,1,0,30,2753
2754,dragon,2,4,89,2754
2755,dragon,4,2,88,2755
2756,dragon,2,4,99,2756
2757,zombie,0,0,33,2757
2758,zombie,2,1,11,2758
2759,zombie,0,0,36,2759
2760,goblin,4,2,23,2760
2761,dragon,4,2,84,2761
2762,dragon,4,2,85,2762
2763,spider,4,4,73,2763
2764,zombie,2,2,20,2764
2765,dragon,2,2,93,2765
2766,zombie,1,0,37,2766
2767,zombie,0,0,39,2767
2768,ghost,2,0,54,2768
2769,zombie,2,1,31,2769
2770,zombie,2,0,11,2770
2771,ghost,1,2,55,2771
2772,zombie,0,2,35,2772
2773,zombie,0,1,27,2773
2774,dragon,2,2,87,2774
2775,goblin,1,2,13,2775
2776,dragon,2,2,82,2776
2777,zombie,2,2,35,2777
2778,dragon,4,2,91,2778
2779,dragon,4,2,92,2779
2780,ghost,2,2,60,2780
2781,dragon,2,2,99,2781
2782,spider,4,4,62,2782
2783,zombie,0,0,26,2783
2784,dragon,2,2,87,2784
2785,dragon,2,2,91,2785
2786,ghost,2,0,54,2786
2787,goblin,3,2,20,2787
2788,spider,4,4,73,2788
2789,goblin,4,2,23,2789
2790,spider,4,4,65,2790
2791,goblin,4,2,29,2791
2792,ghost,0,0,59,2792
2793,spider,4,4,44,2793
2794,goblin,4,2,15,2794
2795,spider,4,4,56,2795
2796,ghost,0,0,60,2796
2797,ghost,2,0,53,2797
2798,zombie,1,2,40,2798
2799,dragon,2,4,81,2799
2800,goblin,3,2,22,2800
2801,zombie,1,2,39,2801
2802,dragon,4,4,92,2802
2803,dragon,2,4,91,2803
2804,goblin,1,2,30,2804
2805,goblin,3,2,10,2805
2806,dragon,2,2,90,2806
2807,ghost,0,0,30,2807
2808,ghost,1,0,59,2808
2809,spider,4,4,48,2809
2810,zombie,0,0,31,2810
2811,dragon,2,2,87,2811
2812,goblin,2,2,22,2812
2813,ghost,0,2,48,2813
2814,zombie,2,1,12,2814
2815,ghost,0,0,52,2815
2816,spider,4,4,53,2816
2817,dragon,4,2,98,2817
2818,zombie,0,0,24,2818
2819,ghost,0,0,50,2819
2820,ghost,1,2,33,2820
