enemy_unit_type,odds_of_victory,planet,population,size_of_force,universe
negator,0.2949053765257742,Gaia,6.7,31000,Mirrodin
tank,0.8971302444109434,Ravnica,7.3,62000,Dominaria
zealot,0.9614178050504241,Gaia,6.7,60000,Mirrodin
tank,0.9527987288100024,Kamigawa,3.4,37000,Dominaria
dreadnought,0.23130062912874505,Eos,8.5,6000,Mirrodin
battleship,0.9035709299744189,Kamigawa,3.4,7000,Dominaria
mecha,0.9129238764473916,Eos,8.5,96000,Mirrodin
overlord,0.6013643863967034,Korhal,6.7,92000,Zendikar
zealot,0.414174953819358,Eos,8.5,58000,Mirrodin
scout,0.543970751111304,Eos,8.5,72000,Mirrodin
drone,0.9011386555139637,Aiur,5.1,53000,Zendikar
scout,0.29377082819350053,Eos,8.5,60000,Mirrodin
tank,0.5661556923976001,Gaia,6.7,3000,Mirrodin
scout,0.6171596540498856,Eos,8.5,88000,Mirrodin
tank,0.26883801893702297,Korhal,6.7,10000,Zendikar
negator,0.7884399561378483,Ravnica,7.3,73000,Dominaria
dreadnought,0.2735703234756739,Ravnica,7.3,2000,Dominaria
battleship,0.3049270712098683,Korhal,6.7,70000,Zendikar
drone,0.056884688592946486,Gaia,6.7,6000,Mirrodin
negator,0.36371981462652736,Ravnica,7.3,13000,Dominaria
drone,0.5029980474259023,Aiur,5.1,14000,Zendikar
battleship,0.35697663797817114,Kamigawa,3.4,4000,Dominaria
dreadnought,0.4989584149741909,Eos,8.5,65000,Mirrodin
dreadnought,0.13134817536452714,Ravnica,7.3,2000,Dominaria
overlord,0.701067518774911,Eos,8.5,40000,Mirrodin
battleship,0.9374128623874634,Korhal,6.7,63000,Zendikar
scout,0.26062423804909596,Gaia,6.7,38000,Mirrodin
drone,0.5159036028208489,Eos,8.5,94000,Mirrodin
negator,0.8421189281772863,Kamigawa,3.4,19000,Dominaria
dreadnought,0.3451646367405008,Kamigawa,3.4,86000,Dominaria
overlord,0.6687753174241909,Aiur,5.1,64000,Zendikar
drone,0.9329142540126688,Aiur,5.1,93000,Zendikar
scout,0.9976193271562386,Gaia,6.7,83000,Mirrodin
drone,0.7422099351247594,Ravnica,7.3,94000,Dominaria
tank,0.43362517144133506,Ravnica,7.3,60000,Dominaria
drone,0.5830000673098353,Ravnica,7.3,22000,Dominaria
overlord,0.23327385071582196,Korhal,6.7,42000,Zendikar
battleship,0.824978114472567,Aiur,5.1,65000,Zendikar
tank,0.5324184718987511,Aiur,5.1,17000,Zendikar
negator,0.841195234711503,Kamigawa,3.4,39000,Dominaria
dreadnought,0.40233185635994406,Kamigawa,3.4,88000,Dominaria
scout,0.3245905797583587,Aiur,5.1,15000,Zendikar
battleship,0.1303788343166462,Gaia,6.7,32000,Mirrodin
mecha,0.043770591657743885,Ravnica,7.3,42000,Dominaria
battleship,0.12953045392630935,Kamigawa,3.4,78000,Dominaria
overlord,0.7242776334619981,Aiur,5.1,87000,Zendikar
scout,0.99367821490069,Aiur,5.1,96000,Zendikar
scout,0.9022889974525237,Eos,8.5,64000,Mirrodin
overlord,0.17393997782284776,Aiur,5.1,91000,Zendikar
dreadnought,0.2550674960698005,Gaia,6.7,72000,Mirrodin
overlord,0.4042391434681656,Eos,8.5,80000,Mirrodin
negator,0.22333386392449572,Kamigawa,3.4,86000,Dominaria
zealot,0.2692544809436498,Eos,8.5,54000,Mirrodin
negator,0.7104076144084744,Gaia,6.7,5000,Mirrodin
drone,0.24581099591434774,Eos,8.5,35000,Mirrodin
overlord,0.29133114375628344,Korhal,6.7,97000,Zendikar
scout,0.021761877377225902,Aiur,5.1,26000,Zendikar
dreadnought,0.07300383860295512,Gaia,6.7,42000,Mirrodin
dreadnought,0.5037725213080774,Aiur,5.1,93000,Zendikar
dreadnought,0.7928330425239848,Kamigawa,3.4,35000,Dominaria
drone,0.21048720506322482,Ravnica,7.3,50000,Dominaria
zealot,0.5407641525488734,Kamigawa,3.4,65000,Dominaria
dreadnought,0.6039716528218698,Kamigawa,3.4,13000,Dominaria
drone,0.5549616378012189,Aiur,5.1,59000,Zendikar
drone,0.6297588841807914,Aiur,5.1,3000,Zendikar
overlord,0.1863023840299025,Ravnica,7.3,39000,Dominaria
dreadnought,0.17852204382756098,Eos,8.5,38000,Mirrodin
tank,0.44193049053001676,Eos,8.5,82000,Mirrodin
mecha,0.5931131057237218,Korhal,6.7,41000,Zendikar
scout,0.09620856580955706,Gaia,6.7,4000,Mirrodin
dreadnought,0.5673814682869519,Eos,8.5,69000,Mirrodin
mecha,0.338688430627897,Ravnica,7.3,17000,Dominaria
drone,0.9689511649966175,Aiur,5.1,74000,Zendikar
mecha,0.6694911884898576,Gaia,6.7,15000,Mirrodin
tank,0.4541330722331983,Ravnica,7.3,83000,Dominaria
drone,0.48480207941167375,Ravnica,7.3,81000,Dominaria
drone,0.04869847423672824,Aiur,5.1,14000,Zendikar
negator,0.8519377820589158,Gaia,6.7,56000,Mirrodin
dreadnought,0.7689638624826287,Aiur,5.1,82000,Zendikar
battleship,0.836446392601575,Korhal,6.7,31000,Zendikar
scout,0.23492586699749907,Eos,8.5,87000,Mirrodin
tank,0.6584859453560841,Korhal,6.7,93000,Zendikar
overlord,0.9150928386934615,Gaia,6.7,17000,Mirrodin
mecha,0.44504915080962426,Ravnica,7.3,26000,Dominaria
battleship,0.02096900077211772,Korhal,6.7,62000,Zendikar
scout,0.8782517310791415,Kamigawa,3.4,89000,Dominaria
tank,0.8583916106507468,Kamigawa,3.4,18000,Dominaria
scout,0.9281852698293221,Korhal,6.7,56000,Zendikar
negator,0.8869770917373461,Korhal,6.7,53000,Zendikar
scout,0.29573925217391117,Eos,8.5,17000,Mirrodin
battleship,0.5999080458670143,Eos,8.5,93000,Mirrodin
mecha,0.3542752490405874,Korhal,6.7,40000,Zendikar
battleship,0.7614308023351718,Eos,8.5,8000,Mirrodin
zealot,0.5911587840361578,Ravnica,7.3,93000,Dominaria
battleship,0.3463302570978045,Kamigawa,3.4,75000,Dominaria
tank,0.15227248360099532,Eos,8.5,62000,Mirrodin
dreadnought,0.4272012679329369,Korhal,6.7,35000,Zendikar
drone,0.09013176093155817,Gaia,6.7,30000,Mirrodin
drone,0.2684776837369862,Eos,8.5,18000,Mirrodin
zealot,0.545328322137013,Gaia,6.7,5000,Mirrodin
dreadnought,0.33408681536221063,Gaia,6.7,81000,Mirrodin
dreadnought,0.5928378192488503,Korhal,6.7,36000,Zendikar
drone,0.9664341000625429,Aiur,5.1,45000,Zendikar
scout,0.3908794536877894,Gaia,6.7,59000,Mirrodin
battleship,0.6932662100244469,Kamigawa,3.4,26000,Dominaria
dreadnought,0.8781242140301547,Kamigawa,3.4,52000,Dominaria
zealot,0.48860216048774463,Ravnica,7.3,79000,Dominaria
mecha,0.5662960287874859,Ravnica,7.3,58000,Dominaria
overlord,0.7454147470788056,Gaia,6.7,41000,Mirrodin
tank,0.2707857642279021,Aiur,5.1,65000,Zendikar
scout,0.917555646760586,Korhal,6.7,48000,Zendikar
zealot,0.20694026040308533,Aiur,5.1,47000,Zendikar
tank,0.5125662406940499,Gaia,6.7,79000,Mirrodin
dreadnought,0.22517152797645223,Kamigawa,3.4,28000,Dominaria
tank,0.7822849329927584,Ravnica,7.3,94000,Dominaria
negator,0.8468729842622007,Gaia,6.7,63000,Mirrodin
scout,0.6772778974381565,Gaia,6.7,22000,Mirrodin
dreadnought,0.6356763175927833,Gaia,6.7,5000,Mirrodin
drone,0.487599659329496,Ravnica,7.3,98000,Dominaria
overlord,0.7970004465633683,Kamigawa,3.4,7000,Dominaria
dreadnought,0.21069633134240617,Korhal,6.7,1000,Zendikar
tank,0.039782990692792675,Gaia,6.7,72000,Mirrodin
battleship,0.8067082756479773,Gaia,6.7,43000,Mirrodin
zealot,0.5130352985274508,Eos,8.5,72000,Mirrodin
battleship,0.6642184319813946,Eos,8.5,20000,Mirrodin
battleship,0.5109042981847358,Ravnica,7.3,45000,Dominaria
zealot,0.10584594302905648,Korhal,6.7,88000,Zendikar
dreadnought,0.7406502984202864,Ravnica,7.3,65000,Dominaria
tank,0.8390817511503276,Gaia,6.7,18000,Mirrodin
battleship,0.7555221282094212,Aiur,5.1,73000,Zendikar
battleship,0.27788814114074945,Kamigawa,3.4,12000,Dominaria
battleship,0.9454750408083886,Korhal,6.7,94000,Zendikar
scout,0.29149320413958424,Eos,8.5,13000,Mirrodin
battleship,0.579552060367322,Ravnica,7.3,45000,Dominaria
battleship,0.2962962050770873,Aiur,5.1,44000,Zendikar
dreadnought,0.15366134330519343,Kamigawa,3.4,26000,Dominaria
zealot,0.4091169273967893,Gaia,6.7,29000,Mirrodin
tank,0.2793187585338549,Gaia,6.7,92000,Mirrodin
overlord,0.5811244593209841,Aiur,5.1,59000,Zendikar
overlord,0.26851306113903484,Eos,8.5,91000,Mirrodin
dreadnought,0.703486415573672,Eos,8.5,48000,Mirrodin
negator,0.9554390833888311,Aiur,5.1,28000,Zendikar
mecha,0.8640423870107423,Gaia,6.7,79000,Mirrodin
battleship,0.8000143202822966,Kamigawa,3.4,87000,Dominaria
drone,0.5634130543006461,Eos,8.5,92000,Mirrodin
tank,0.17147063593017675,Eos,8.5,61000,Mirrodin
drone,0.7175231898224484,Kamigawa,3.4,83000,Dominaria
mecha,0.17672476972513185,Kamigawa,3.4,88000,Dominaria
tank,0.5602797083200644,Eos,8.5,90000,Mirrodin
overlord,0.14991458361476362,Ravnica,7.3,75000,Dominaria
drone,0.356451175791098,Korhal,6.7,50000,Zendikar
mecha,0.22768739356678513,Gaia,6.7,21000,Mirrodin
overlord,0.569535921736083,Eos,8.5,64000,Mirrodin
battleship,0.3561044634291217,Gaia,6.7,51000,Mirrodin
scout,0.37580801387082363,Kamigawa,3.4,60000,Dominaria
drone,0.4721000125739693,Gaia,6.7,22000,Mirrodin
overlord,0.9629358517040527,Gaia,6.7,75000,Mirrodin
dreadnought,0.45294414389404436,Eos,8.5,49000,Mirrodin
zealot,0.3485353065415764,Korhal,6.7,23000,Zendikar
mecha,0.9629364110141756,Gaia,6.7,77000,Mirrodin
overlord,0.9268332049637514,Eos,8.5,95000,Mirrodin
dreadnought,0.3497365657532576,Eos,8.5,4000,Mirrodin
drone,0.060287158293657606,Ravnica,7.3,86000,Dominaria
negator,0.36846600812607333,Kamigawa,3.4,13000,Dominaria
mecha,0.43557234235641984,Kamigawa,3.4,69000,Dominaria
overlord,0.8128114786359415,Gaia,6.7,71000,Mirrodin
tank,0.7352781561659141,Korhal,6.7,76000,Zendikar
battleship,0.45550563420593415,Korhal,6.7,39000,Zendikar
dreadnought,0.5769653816059485,Eos,8.5,46000,Mirrodin
drone,0.02452763774617306,Korhal,6.7,15000,Zendikar
scout,0.9775945510966545,Kamigawa,3.4,2000,Dominaria
drone,0.29412181000193927,Korhal,6.7,57000,Zendikar
drone,0.06261515172282728,Aiur,5.1,85000,Zendikar
battleship,0.7377204515611149,Korhal,6.7,68000,Zendikar
tank,0.839918919494075,Korhal,6.7,14000,Zendikar
drone,0.2978570670407493,Ravnica,7.3,30000,Dominaria
mecha,0.939639454935552,Gaia,6.7,50000,Mirrodin
zealot,0.6597186375705915,Korhal,6.7,85000,Zendikar
tank,0.836268229431021,Korhal,6.7,5000,Zendikar
overlord,0.09642321861365655,Ravnica,7.3,17000,Dominaria
scout,0.49343221848476204,Aiur,5.1,24000,Zendikar
mecha,0.42243409572568424,Korhal,6.7,53000,Zendikar
negator,0.5026884394739612,Ravnica,7.3,98000,Dominaria
zealot,0.03187623561203867,Aiur,5.1,20000,Zendikar
overlord,0.15136973386037633,Gaia,6.7,49000,Mirrodin
dreadnought,0.9722751720194001,Ravnica,7.3,70000,Dominaria
zealot,0.11862271512121125,Aiur,5.1,87000,Zendikar
dreadnought,0.5959158511026652,Eos,8.5,9000,Mirrodin
overlord,0.566487945522902,Korhal,6.7,39000,Zendikar
scout,0.8279077461871556,Kamigawa,3.4,80000,Dominaria
zealot,0.5889851038475078,Ravnica,7.3,25000,Dominaria
tank,0.35715201672292585,Kamigawa,3.4,58000,Dominaria
scout,0.2898591479086856,Kamigawa,3.4,52000,Dominaria
mecha,0.9092892435787574,Ravnica,7.3,95000,Dominaria
scout,0.9244472019209092,Eos,8.5,58000,Mirrodin
scout,0.2917089831316586,Korhal,6.7,9000,Zendikar
negator,0.04376971174484645,Eos,8.5,75000,Mirrodin
overlord,0.8271744880501279,Gaia,6.7,16000,Mirrodin
mecha,0.9934879410143939,Gaia,6.7,77000,Mirrodin
battleship,0.4743378648213574,Kamigawa,3.4,62000,Dominaria
zealot,0.42173286817340616,Ravnica,7.3,43000,Dominaria
zealot,0.45545708299188736,Gaia,6.7,96000,Mirrodin
battleship,0.7270495462610642,Gaia,6.7,35000,Mirrodin
scout,0.11077858836197707,Aiur,5.1,65000,Zendikar
negator,0.6669120350539408,Korhal,6.7,78000,Zendikar
tank,0.726621293857638,Gaia,6.7,60000,Mirrodin
battleship,0.6775950491516096,Aiur,5.1,59000,Zendikar
mecha,0.43005907496864726,Kamigawa,3.4,80000,Dominaria
negator,0.39974384721240996,Eos,8.5,36000,Mirrodin
tank,0.3590445399086152,Kamigawa,3.4,19000,Dominaria
zealot,0.008919866628845141,Aiur,5.1,90000,Zendikar
mecha,0.7396635960704993,Kamigawa,3.4,27000,Dominaria
scout,0.9467020037444116,Aiur,5.1,77000,Zendikar
dreadnought,0.0990403688675785,Eos,8.5,60000,Mirrodin
tank,0.518184228511871,Gaia,6.7,88000,Mirrodin
scout,0.675991194078017,Aiur,5.1,37000,Zendikar
mecha,0.319555168791267,Aiur,5.1,22000,Zendikar
overlord,0.3391343974976836,Aiur,5.1,19000,Zendikar
overlord,0.82166481751649,Eos,8.5,23000,Mirrodin
mecha,0.13424374652496796,Kamigawa,3.4,56000,Dominaria
negator,0.664930447453387,Ravnica,7.3,78000,Dominaria
scout,0.9246301932384631,Aiur,5.1,70000,Zendikar
zealot,0.828413346246241,Kamigawa,3.4,94000,Dominaria
negator,0.43617718356005575,Korhal,6.7,6000,Zendikar
zealot,0.28316599221423533,Korhal,6.7,57000,Zendikar
tank,0.7382620433148886,Aiur,5.1,81000,Zendikar
negator,0.2341664982968772,Gaia,6.7,14000,Mirrodin
dreadnought,0.2576159333980518,Aiur,5.1,69000,Zendikar
overlord,0.8333480313303877,Kamigawa,3.4,68000,Dominaria
mecha,0.2797668873203416,Ravnica,7.3,53000,Dominaria
zealot,0.9885128814692348,Aiur,5.1,34000,Zendikar
dreadnought,0.6840608007727645,Ravnica,7.3,78000,Dominaria
negator,0.2735067462949854,Aiur,5.1,45000,Zendikar
zealot,0.9564976399800406,Korhal,6.7,27000,Zendikar
overlord,0.24501421811912927,Korhal,6.7,63000,Zendikar
drone,0.8367269548775045,Ravnica,7.3,23000,Dominaria
dreadnought,0.1911735683969652,Gaia,6.7,18000,Mirrodin
drone,0.18553807786176824,Gaia,6.7,25000,Mirrodin
dreadnought,0.7601690243368034,Aiur,5.1,65000,Zendikar
mecha,0.06554116672519494,Gaia,6.7,60000,Mirrodin
mecha,0.41347458555895655,Kamigawa,3.4,85000,Dominaria
dreadnought,0.5383146192452987,Eos,8.5,86000,Mirrodin
mecha,0.5626853779558914,Korhal,6.7,23000,Zendikar
mecha,0.4688308904473164,Aiur,5.1,86000,Zendikar
battleship,0.1578852210391659,Aiur,5.1,43000,Zendikar
zealot,0.45645681330472543,Ravnica,7.3,42000,Dominaria
battleship,0.014861024047739813,Eos,8.5,17000,Mirrodin
zealot,0.14573885579340973,Gaia,6.7,52000,Mirrodin
overlord,0.8528867145804314,Ravnica,7.3,46000,Dominaria
mecha,0.7712092589896258,Aiur,5.1,2000,Zendikar
overlord,0.9397551883366748,Korhal,6.7,7000,Zendikar
negator,0.7197356225153668,Gaia,6.7,6000,Mirrodin
negator,0.447215415745833,Gaia,6.7,37000,Mirrodin
battleship,0.967452487029631,Eos,8.5,22000,Mirrodin
battleship,0.6916203287650263,Aiur,5.1,33000,Zendikar
tank,0.4564370428988995,Korhal,6.7,65000,Zendikar
scout,0.7319880245094953,Gaia,6.7,16000,Mirrodin
tank,0.730046935266918,Aiur,5.1,8000,Zendikar
mecha,0.10427581025346255,Kamigawa,3.4,21000,Dominaria
tank,0.5168200637730431,Gaia,6.7,67000,Mirrodin
battleship,0.6779912035887896,Korhal,6.7,70000,Zendikar
tank,0.10848479180236081,Gaia,6.7,61000,Mirrodin
negator,0.4831084995294622,Aiur,5.1,75000,Zendikar
zealot,0.43321078009547376,Korhal,6.7,53000,Zendikar
mecha,0.8727946175502691,Gaia,6.7,21000,Mirrodin
overlord,0.502006629984681,Aiur,5.1,20000,Zendikar
negator,0.8666869956028209,Kamigawa,3.4,9000,Dominaria
zealot,0.0930280877046511,Eos,8.5,82000,Mirrodin
scout,0.33697017530317697,Aiur,5.1,49000,Zendikar
dreadnought,0.03512682599156369,Ravnica,7.3,14000,Dominaria
scout,0.43783640741794394,Korhal,6.7,56000,Zendikar
negator,0.5309175422365451,Eos,8.5,31000,Mirrodin
battleship,0.9617601781947893,Eos,8.5,27000,Mirrodin
battleship,0.48964369765247295,Aiur,5.1,62000,Zendikar
dreadnought,0.6173752041914161,Ravnica,7.3,71000,Dominaria
battleship,0.8792556028191806,Eos,8.5,91000,Mirrodin
drone,0.41495235273496556,Kamigawa,3.4,63000,Dominaria
dreadnought,0.8460049686414056,Aiur,5.1,83000,Zendikar
tank,0.9411691425779842,Korhal,6.7,33000,Zendikar
drone,0.7656637231330979,Gaia,6.7,23000,Mirrodin
negator,0.08901823318102298,Gaia,6.7,59000,Mirrodin
scout,0.8003083067735006,Gaia,6.7,22000,Mirrodin
zealot,0.25324560752103864,Eos,8.5,76000,Mirrodin
mecha,0.1831282419017165,Aiur,5.1,20000,Zendikar
mecha,0.1763564315035543,Ravnica,7.3,52000,Dominaria
drone,0.7490176843592233,Ravnica,7.3,34000,Dominaria
mecha,0.49445070777792366,Ravnica,7.3,89000,Dominaria
zealot,0.2816850549743928,Eos,8.5,71000,Mirrodin
negator,0.6033673281938868,Eos,8.5,33000,Mirrodin
drone,0.007896432468650572,Kamigawa,3.4,56000,Dominaria
negator,0.36037088662047834,Gaia,6.7,49000,Mirrodin
mecha,0.3006872164566432,Ravnica,7.3,80000,Dominaria
mecha,0.945911387744842,Aiur,5.1,95000,Zendikar
negator,0.2129939201565222,Kamigawa,3.4,90000,Dominaria
zealot,0.8300770648057748,Korhal,6.7,90000,Zendikar
battleship,0.7880305033541342,Eos,8.5,10000,Mirrodin
drone,0.19436092168919328,Aiur,5.1,68000,Zendikar
overlord,0.7636303978212865,Korhal,6.7,29000,Zendikar
zealot,0.8323258879716046,Korhal,6.7,6000,Zendikar
mecha,0.6285874602412062,Ravnica,7.3,32000,Dominaria
negator,0.8555706982033189,Aiur,5.1,57000,Zendikar
scout,0.44978232476597746,Ravnica,7.3,60000,Dominaria
dreadnought,0.2262814514139656,Kamigawa,3.4,62000,Dominaria
scout,0.842818902467904,Eos,8.5,48000,Mirrodin
negator,0.37264120105734266,Aiur,5.1,22000,Zendikar
scout,0.9587092283461783,Eos,8.5,80000,Mirrodin
overlord,0.1975486124837107,Kamigawa,3.4,75000,Dominaria
overlord,0.9714743692075338,Ravnica,7.3,45000,Dominaria
zealot,0.5981858726634469,Gaia,6.7,67000,Mirrodin
mecha,0.817201903820419,Gaia,6.7,98000,Mirrodin
battleship,0.6840070895861744,Gaia,6.7,36000,Mirrodin
dreadnought,0.7515115676840857,Aiur,5.1,62000,Zendikar
scout,0.44087949974132,Ravnica,7.3,56000,Dominaria
tank,0.021832887117677058,Korhal,6.7,28000,Zendikar
scout,0.7491496928088621,Eos,8.5,79000,Mirrodin
negator,0.39730410666248306,Aiur,5.1,67000,Zendikar
scout,0.07061378204555468,Ravnica,7.3,80000,Dominaria
overlord,0.766276462906267,Eos,8.5,14000,Mirrodin
scout,0.9329408817117962,Aiur,5.1,93000,Zendikar
overlord,0.2062400769808691,Kamigawa,3.4,74000,Dominaria
zealot,0.815033941031861,Korhal,6.7,77000,Zendikar
scout,0.07922098705464031,Kamigawa,3.4,69000,Dominaria
drone,0.7552121381411996,Eos,8.5,28000,Mirrodin
battleship,0.8933306434116762,Kamigawa,3.4,86000,Dominaria
zealot,0.1749577635818116,Aiur,5.1,74000,Zendikar
negator,0.38562016956584777,Eos,8.5,4000,Mirrodin
tank,0.6902700810431449,Gaia,6.7,4000,Mirrodin
drone,0.7224473387238357,Eos,8.5,26000,Mirrodin
dreadnought,0.026178271422059085,Korhal,6.7,79000,Zendikar
scout,0.6393184569799327,Eos,8.5,18000,Mirrodin
tank,0.19489384793264963,Aiur,5.1,24000,Zendikar
battleship,0.00676751932978481,Ravnica,7.3,87000,Dominaria
drone,0.8704648836148821,Eos,8.5,55000,Mirrodin
tank,0.07115365637110604,Eos,8.5,54000,Mirrodin
scout,0.8439947105954068,Ravnica,7.3,96000,Dominaria
tank,0.04155791314953483,Ravnica,7.3,79000,Dominaria
negator,0.8740382391180478,Aiur,5.1,55000,Zendikar
overlord,0.5513333508421249,Korhal,6.7,4000,Zendikar
zealot,0.8205941337996079,Aiur,5.1,39000,Zendikar
negator,0.4686568259929965,Aiur,5.1,84000,Zendikar
mecha,0.5950093496806865,Eos,8.5,73000,Mirrodin
battleship,0.37808065559707027,Eos,8.5,57000,Mirrodin
overlord,0.32730471563050934,Kamigawa,3.4,42000,Dominaria
negator,0.6899523183151294,Eos,8.5,4000,Mirrodin
mecha,0.7144233092119464,Eos,8.5,67000,Mirrodin
battleship,0.970334956401107,Kamigawa,3.4,82000,Dominaria
drone,0.4651155056453402,Gaia,6.7,55000,Mirrodin
tank,0.5268976431837041,Eos,8.5,31000,Mirrodin
tank,0.5344101890488461,Kamigawa,3.4,72000,Dominaria
overlord,0.362667290703111,Aiur,5.1,37000,Zendikar
zealot,0.9846996970872594,Gaia,6.7,69000,Mirrodin
tank,0.3644837782224365,Kamigawa,3.4,66000,Dominaria
battleship,0.7212674736350059,Gaia,6.7,95000,Mirrodin
overlord,0.24492260401367028,Kamigawa,3.4,30000,Dominaria
mecha,0.564844928767404,Korhal,6.7,59000,Zendikar
negator,0.8504019466885511,Eos,8.5,8000,Mirrodin
overlord,0.9217000607953841,Kamigawa,3.4,3000,Dominaria
mecha,0.2913871368154195,Eos,8.5,74000,Mirrodin
mecha,0.7678434597164078,Korhal,6.7,61000,Zendikar
mecha,0.2318595929038184,Aiur,5.1,52000,Zendikar
drone,0.1302456361684523,Kamigawa,3.4,60000,Dominaria
dreadnought,0.8090492022694509,Eos,8.5,62000,Mirrodin
scout,0.32929887685024495,Gaia,6.7,2000,Mirrodin
dreadnought,0.22506056037522437,Ravnica,7.3,84000,Dominaria
tank,0.42208950386149713,Ravnica,7.3,65000,Dominaria
dreadnought,0.6103442447132752,Eos,8.5,6000,Mirrodin
dreadnought,0.5027611223570962,Kamigawa,3.4,95000,Dominaria
negator,0.9288856868441395,Kamigawa,3.4,72000,Dominaria
dreadnought,0.4609966134069101,Eos,8.5,35000,Mirrodin
scout,0.7549949059400406,Gaia,6.7,19000,Mirrodin
mecha,0.6108122838658705,Korhal,6.7,37000,Zendikar
dreadnought,0.7697975860776121,Eos,8.5,26000,Mirrodin
tank,0.1169184822925633,Ravnica,7.3,64000,Dominaria
negator,0.627542254406214,Kamigawa,3.4,14000,Dominaria
tank,0.6184135357137508,Eos,8.5,14000,Mirrodin
tank,0.10928399635086539,Ravnica,7.3,97000,Dominaria
scout,0.922746367810432,Korhal,6.7,83000,Zendikar
scout,0.24764076578778393,Aiur,5.1,57000,Zendikar
overlord,0.272807505079505,Korhal,6.7,8000,Zendikar
dreadnought,0.03956985057997542,Gaia,6.7,16000,Mirrodin
dreadnought,0.07878108598488553,Aiur,5.1,9000,Zendikar
drone,0.47453835919879683,Gaia,6.7,83000,Mirrodin
drone,0.29616973987585726,Aiur,5.1,87000,Zendikar
scout,0.0374614403885285,Kamigawa,3.4,88000,Dominaria
dreadnought,0.17567275122163573,Kamigawa,3.4,48000,Dominaria
drone,0.5386168453800017,Kamigawa,3.4,12000,Dominaria
scout,0.35183047398963707,Aiur,5.1,13000,Zendikar
drone,0.2626534585953342,Kamigawa,3.4,85000,Dominaria
drone,0.035349657169182924,Aiur,5.1,15000,Zendikar
battleship,0.844389713857719,Aiur,5.1,55000,Zendikar
negator,0.6568726607157334,Aiur,5.1,16000,Zendikar
mecha,0.05631026344123413,Korhal,6.7,49000,Zendikar
zealot,0.4360116016512974,Kamigawa,3.4,12000,Dominaria
dreadnought,0.861470895120796,Korhal,6.7,65000,Zendikar
zealot,0.47156516723912034,Gaia,6.7,74000,Mirrodin
scout,0.6428197141803433,Gaia,6.7,14000,Mirrodin
zealot,0.016397712893811422,Kamigawa,3.4,31000,Dominaria
zealot,0.46353037191449076,Gaia,6.7,20000,Mirrodin
scout,0.1764361344272798,Eos,8.5,16000,Mirrodin
battleship,0.784115464762025,Ravnica,7.3,51000,Dominaria
tank,0.7054170858876345,Kamigawa,3.4,2000,Dominaria
negator,0.6213608263925958,Korhal,6.7,97000,Zendikar
battleship,0.1717851627200906,Aiur,5.1,30000,Zendikar
battleship,0.5276166674013051,Korhal,6.7,51000,Zendikar
mecha,0.36249068201126955,Korhal,6.7,25000,Zendikar
scout,0.1064900755150856,Kamigawa,3.4,96000,Dominaria
drone,0.43192757149242367,Aiur,5.1,6000,Zendikar
dreadnought,0.3494546542659066,Aiur,5.1,18000,Zendikar
battleship,0.6230206842951047,Korhal,6.7,48000,Zendikar
dreadnought,0.5255811480133115,Aiur,5.1,20000,Zendikar
drone,0.965632306629227,Kamigawa,3.4,58000,Dominaria
mecha,0.09566965315129583,Ravnica,7.3,10000,Dominaria
drone,0.43741377277739046,Gaia,6.7,16000,Mirrodin
mecha,0.577348233018548,Eos,8.5,51000,Mirrodin
dreadnought,0.7453561836962261,Korhal,6.7,21000,Zendikar
negator,0.7571715374094555,Aiur,5.1,97000,Zendikar
negator,0.032765475337598104,Korhal,6.7,35000,Zendikar
zealot,0.8329901053252935,Kamigawa,3.4,40000,Dominaria
overlord,0.31454680559923764,Korhal,6.7,27000,Zendikar
zealot,0.5403673885950867,Aiur,5.1,65000,Zendikar
dreadnought,0.7414652618674994,Gaia,6.7,11000,Mirrodin
battleship,0.8086522682242844,Korhal,6.7,10000,Zendikar
overlord,0.2255456312951568,Aiur,5.1,18000,Zendikar
tank,0.6662790998241851,Korhal,6.7,7000,Zendikar
scout,0.4977503403106577,Korhal,6.7,20000,Zendikar
dreadnought,0.6317185802695144,Ravnica,7.3,90000,Dominaria
battleship,0.4205147807350451,Gaia,6.7,56000,Mirrodin
negator,0.36096311883881305,Gaia,6.7,50000,Mirrodin
zealot,0.46015226167700074,Kamigawa,3.4,8000,Dominaria
battleship,0.6323591715038196,Aiur,5.1,23000,Zendikar
dreadnought,0.6007020230264702,Ravnica,7.3,46000,Dominaria
tank,0.9571632992398793,Korhal,6.7,34000,Zendikar
zealot,0.3172157265022396,Ravnica,7.3,97000,Dominaria
overlord,0.8841191515857679,Eos,8.5,17000,Mirrodin
zealot,0.040498867882285405,Eos,8.5,57000,Mirrodin
zealot,0.2630197125849655,Aiur,5.1,62000,Zendikar
drone,0.935964989266292,Aiur,5.1,53000,Zendikar
dreadnought,0.31512643079160185,Ravnica,7.3,34000,Dominaria
battleship,0.8108974126833364,Ravnica,7.3,73000,Dominaria
battleship,0.5047212129139568,Kamigawa,3.4,72000,Dominaria
mecha,0.6726544087515894,Eos,8.5,46000,Mirrodin
tank,0.8703485233807404,Ravnica,7.3,4000,Dominaria
mecha,0.7474833620534873,Kamigawa,3.4,68000,Dominaria
negator,0.3727327547333301,Eos,8.5,12000,Mirrodin
drone,0.23333151840513044,Gaia,6.7,15000,Mirrodin
