cancelled,contract length,days active,invites sent,money spent,occupation,used coupon code,user ID
no,monthly,109,19,791,product manager,yes,4263
yes,annual,0,10,242,engineering manager,no,4264
no,monthly,103,18,49,engineering manager,no,4265
yes,annual,37,5,321,product manager,no,4266
yes,monthly,74,2,289,engineering manager,no,4267
yes,annual,85,0,920,sales,no,4268
yes,annual,94,7,28,developer,yes,4269
no,monthly,65,10,1070,developer,yes,4270
no,annual,18,11,691,engineering manager,yes,4271
yes,monthly,90,3,160,developer,no,4272
no,monthly,101,4,79,engineering manager,yes,4273
no,annual,133,13,434,product manager,yes,4274
no,monthly,39,17,885,engineering manager,no,4275
no,monthly,137,10,111,engineering manager,yes,4276
no,monthly,119,13,932,engineering manager,yes,4277
yes,annual,45,1,624,marketer,yes,4278
no,monthly,129,7,688,developer,yes,4279
no,monthly,103,17,635,product manager,yes,4280
no,monthly,44,10,439,engineering manager,yes,4281
no,monthly,145,13,456,product manager,no,4282
no,monthly,61,8,66,developer,yes,4283
yes,annual,51,1,461,engineering manager,no,4284
no,monthly,142,20,439,engineering manager,no,4285
no,monthly,30,5,863,product manager,no,4286
yes,monthly,67,8,934,developer,yes,4287
yes,monthly,28,2,1045,sales,no,4288
no,annual,37,5,646,developer,no,4289
no,monthly,118,0,82,engineering manager,no,4290
no,monthly,65,7,890,engineering manager,no,4291
yes,monthly,9,9,725,marketer,yes,4292
no,monthly,89,12,13,developer,no,4293
no,monthly,74,12,228,engineering manager,no,4294
no,monthly,137,15,714,developer,no,4295
yes,monthly,74,6,133,engineering manager,no,4296
no,annual,124,17,738,engineering manager,no,4297
no,annual,121,0,412,engineering manager,no,4298
no,monthly,94,10,766,engineering manager,no,4299
no,monthly,79,15,250,developer,no,4300
no,annual,138,6,803,engineering manager,no,4301
yes,annual,51,6,29,product manager,yes,4302
no,monthly,39,11,552,product manager,yes,4303
no,monthly,15,13,480,developer,no,4304
no,annual,0,13,1195,product manager,yes,4305
no,monthly,56,2,68,engineering manager,yes,4306
yes,monthly,97,9,431,designer,no,4307
yes,annual,68,3,218,engineering manager,no,4308
no,annual,115,7,1095,engineering manager,yes,4309
yes,monthly,7,10,775,designer,yes,4310
yes,monthly,84,1,358,engineering manager,no,4311
yes,monthly,90,2,984,engineering manager,no,4312
no,monthly,123,18,477,developer,no,4313
yes,monthly,54,3,1195,developer,no,4314
yes,monthly,90,12,87,developer,no,4315
no,annual,21,11,803,engineering manager,no,4316
yes,monthly,69,3,239,sales,no,4317
no,monthly,124,15,712,developer,yes,4318
yes,monthly,49,7,569,designer,no,4319
no,monthly,112,15,767,engineering manager,no,4320
no,annual,67,12,449,engineering manager,no,4321
yes,monthly,23,4,104,designer,yes,4322
no,annual,1,12,975,engineering manager,yes,4323
no,annual,15,9,720,developer,no,4324
no,monthly,74,1,44,engineering manager,yes,4325
no,monthly,113,2,259,developer,yes,4326
no,monthly,111,15,88,engineering manager,yes,4327
no,annual,67,4,1116,engineering manager,yes,4328
no,monthly,27,6,235,developer,no,4329
yes,monthly,3,12,234,marketer,yes,4330
no,monthly,17,14,14,product manager,no,4331
yes,monthly,79,1,923,sales,yes,4332
no,monthly,138,12,1082,product manager,yes,4333
no,monthly,83,7,336,engineering manager,no,4334
no,monthly,73,18,693,product manager,no,4335
yes,annual,62,9,220,engineering manager,yes,4336
no,monthly,10,11,417,engineering manager,yes,4337
yes,annual,43,4,566,sales,yes,4338
yes,annual,11,12,1017,product manager,yes,4339
no,annual,109,20,692,engineering manager,yes,4340
no,monthly,85,11,1167,engineering manager,no,4341
no,monthly,136,5,738,engineering manager,no,4342
no,monthly,117,3,713,product manager,yes,4343
no,annual,97,11,741,engineering manager,yes,4344
yes,annual,23,12,816,designer,yes,4345
no,monthly,117,4,1155,product manager,no,4346
no,monthly,75,19,884,product manager,no,4347
no,monthly,27,7,179,product manager,no,4348
no,monthly,15,18,969,engineering manager,no,4349
yes,monthly,18,5,1001,developer,no,4350
no,monthly,142,6,621,engineering manager,yes,4351
no,monthly,130,4,625,engineering manager,yes,4352
no,monthly,2,15,959,engineering manager,no,4353
no,monthly,80,9,1184,developer,yes,4354
no,monthly,120,7,457,engineering manager,no,4355
yes,monthly,45,1,407,designer,yes,4356
no,monthly,15,16,1025,engineering manager,yes,4357
yes,monthly,51,1,72,engineering manager,no,4358
no,monthly,141,20,824,product manager,no,4359
no,monthly,101,2,902,engineering manager,no,4360
yes,monthly,38,8,970,sales,no,4361
yes,monthly,37,7,85,engineering manager,no,4362
no,monthly,62,15,1141,product manager,yes,4363
yes,annual,90,7,440,marketer,yes,4364
no,monthly,98,5,287,engineering manager,no,4365
no,annual,12,17,579,developer,no,4366
no,monthly,63,11,58,product manager,yes,4367
no,annual,35,19,747,engineering manager,no,4368
no,monthly,77,3,750,developer,yes,4369
no,monthly,101,14,672,developer,no,4370
no,monthly,23,20,815,developer,no,4371
no,monthly,51,20,1134,engineering manager,yes,4372
no,monthly,115,6,519,developer,no,4373
yes,monthly,95,12,222,marketer,no,4374
no,monthly,113,3,114,product manager,yes,4375
no,monthly,29,1,615,engineering manager,no,4376
yes,monthly,70,3,706,engineering manager,yes,4377
yes,annual,62,11,1058,designer,no,4378
no,annual,120,1,211,product manager,no,4379
no,monthly,6,18,157,developer,yes,4380
no,monthly,103,15,1163,product manager,no,4381
no,monthly,71,3,106,product manager,no,4382
no,monthly,55,20,270,developer,no,4383
no,monthly,13,3,1042,engineering manager,yes,4384
no,monthly,38,12,457,developer,no,4385
no,monthly,114,10,509,developer,yes,4386
no,annual,58,15,199,product manager,no,4387
no,annual,62,8,533,product manager,yes,4388
yes,annual,21,1,439,sales,no,4389
no,monthly,128,20,422,developer,yes,4390
no,monthly,86,0,302,developer,no,4391
yes,monthly,72,6,1130,designer,no,4392
yes,monthly,70,3,781,engineering manager,no,4393
no,monthly,79,19,1059,engineering manager,yes,4394
no,monthly,49,1,308,product manager,no,4395
yes,annual,71,0,760,product manager,yes,4396
yes,annual,51,8,696,engineering manager,no,4397
no,monthly,117,14,910,developer,no,4398
no,monthly,77,12,408,developer,no,4399
no,monthly,15,5,460,developer,yes,4400
no,monthly,136,10,94,developer,yes,4401
no,monthly,89,13,597,engineering manager,yes,4402
no,monthly,114,5,627,product manager,no,4403
no,annual,43,16,696,engineering manager,no,4404
no,monthly,117,12,497,developer,yes,4405
no,annual,2,7,1002,engineering manager,no,4406
no,monthly,52,5,604,developer,yes,4407
no,monthly,11,0,623,engineering manager,yes,4408
no,monthly,49,7,115,product manager,yes,4409
no,monthly,93,5,1047,product manager,yes,4410
yes,annual,43,9,1184,designer,yes,4411
no,monthly,146,2,483,engineering manager,yes,4412
no,monthly,46,0,536,product manager,yes,4413
yes,annual,17,4,337,sales,no,4414
no,annual,131,20,800,product manager,no,4415
no,monthly,21,11,799,engineering manager,no,4416
no,monthly,92,7,1058,developer,no,4417
no,monthly,138,10,1156,product manager,no,4418
no,monthly,30,15,328,product manager,yes,4419
no,monthly,17,3,1044,engineering manager,no,4420
yes,monthly,67,10,622,product manager,yes,4421
yes,monthly,94,4,194,product manager,no,4422
yes,monthly,59,6,1199,sales,no,4423
no,monthly,69,17,1173,developer,no,4424
no,annual,86,17,1078,engineering manager,no,4425
yes,annual,6,12,757,sales,no,4426
no,monthly,26,13,1055,developer,no,4427
no,monthly,9,5,722,product manager,yes,4428
no,monthly,80,15,153,product manager,no,4429
no,monthly,145,15,60,developer,no,4430
no,monthly,0,2,258,engineering manager,no,4431
yes,monthly,59,9,109,marketer,no,4432
no,monthly,23,3,727,product manager,no,4433
yes,monthly,40,12,468,engineering manager,yes,4434
no,monthly,44,17,200,developer,no,4435
yes,monthly,62,6,834,sales,yes,4436
no,monthly,26,7,292,developer,no,4437
no,monthly,71,9,469,developer,yes,4438
yes,monthly,58,12,1121,engineering manager,no,4439
no,monthly,16,19,124,product manager,yes,4440
no,monthly,5,14,1094,product manager,no,4441
no,monthly,62,16,290,developer,no,4442
no,monthly,118,9,272,engineering manager,yes,4443
yes,monthly,86,5,107,designer,yes,4444
yes,monthly,76,11,1007,marketer,no,4445
yes,monthly,18,9,590,marketer,no,4446
no,annual,122,4,590,product manager,no,4447
yes,annual,31,1,460,sales,no,4448
no,monthly,107,18,580,engineering manager,yes,4449
yes,monthly,79,3,622,marketer,no,4450
no,annual,127,14,247,product manager,yes,4451
no,monthly,56,3,224,developer,no,4452
no,monthly,45,5,321,developer,no,4453
no,annual,50,7,371,product manager,no,4454
yes,monthly,86,10,198,sales,yes,4455
no,annual,123,3,172,engineering manager,no,4456
no,monthly,145,7,667,developer,yes,4457
no,monthly,29,15,802,engineering manager,yes,4458
no,annual,14,6,703,product manager,yes,4459
yes,monthly,20,8,732,developer,no,4460
no,annual,38,4,872,developer,no,4461
no,annual,41,12,680,product manager,no,4462
yes,monthly,93,1,859,marketer,no,4463
no,monthly,60,16,1125,product manager,yes,4464
no,annual,122,0,1031,engineering manager,yes,4465
yes,monthly,48,9,515,sales,yes,4466
yes,monthly,72,5,390,marketer,yes,4467
no,monthly,18,5,863,engineering manager,yes,4468
no,monthly,75,18,1175,engineering manager,yes,4469
yes,monthly,66,9,278,marketer,no,4470
yes,annual,81,12,693,marketer,no,4471
no,monthly,9,6,55,developer,yes,4472
no,monthly,1,4,116,product manager,yes,4473
no,monthly,13,0,762,engineering manager,yes,4474
no,monthly,3,7,450,developer,yes,4475
no,monthly,110,12,540,product manager,no,4476
yes,monthly,68,11,27,sales,no,4477
no,monthly,44,18,774,developer,yes,4478
yes,monthly,8,6,470,developer,no,4479
no,annual,0,5,1105,engineering manager,no,4480
no,monthly,129,19,91,developer,no,4481
no,monthly,108,7,845,developer,no,4482
no,monthly,22,2,629,developer,no,4483
no,monthly,81,19,517,engineering manager,yes,4484
no,monthly,96,15,1085,engineering manager,no,4485
no,annual,143,2,491,product manager,no,4486
no,annual,62,9,789,product manager,yes,4487
no,monthly,144,14,1139,engineering manager,no,4488
no,monthly,100,19,94,product manager,yes,4489
no,monthly,104,5,1080,developer,no,4490
no,monthly,2,5,1123,engineering manager,no,4491
yes,monthly,5,11,988,engineering manager,no,4492
no,monthly,92,2,668,engineering manager,no,4493
no,annual,37,12,566,developer,yes,4494
no,monthly,73,1,581,product manager,no,4495
yes,monthly,81,2,239,product manager,no,4496
no,annual,62,14,515,product manager,yes,4497
no,monthly,90,1,139,engineering manager,yes,4498
no,monthly,77,7,689,product manager,no,4499
no,monthly,133,14,521,developer,yes,4500
no,monthly,58,12,267,engineering manager,no,4501
no,monthly,7,12,200,product manager,no,4502
no,monthly,137,14,655,engineering manager,yes,4503
no,annual,18,1,695,engineering manager,no,4504
no,annual,37,17,124,engineering manager,no,4505
no,monthly,144,2,162,developer,no,4506
no,monthly,122,16,675,developer,yes,4507
yes,monthly,51,2,817,product manager,yes,4508
yes,monthly,26,3,562,marketer,no,4509
no,monthly,129,2,759,engineering manager,no,4510
no,monthly,87,5,167,engineering manager,yes,4511
no,annual,140,19,1098,developer,yes,4512
no,monthly,7,20,991,developer,no,4513
no,monthly,147,9,924,engineering manager,yes,4514
yes,monthly,82,2,125,sales,yes,4515
yes,monthly,7,5,1102,developer,no,4516
no,monthly,40,6,981,engineering manager,yes,4517
yes,monthly,98,9,1052,product manager,yes,4518
no,monthly,111,6,636,developer,no,4519
no,monthly,4,5,1105,product manager,yes,4520
yes,monthly,9,12,946,developer,no,4521
yes,annual,36,0,896,product manager,no,4522
no,annual,38,3,749,engineering manager,no,4523
no,monthly,8,5,416,engineering manager,no,4524
no,annual,114,20,663,engineering manager,yes,4525
no,monthly,31,11,102,developer,no,4526
yes,monthly,4,5,1021,designer,no,4527
yes,monthly,86,0,722,marketer,yes,4528
yes,monthly,23,9,233,engineering manager,no,4529
no,monthly,100,2,115,engineering manager,yes,4530
no,monthly,100,9,1195,product manager,yes,4531
yes,monthly,54,2,75,marketer,yes,4532
no,monthly,32,19,1052,developer,yes,4533
no,monthly,51,15,983,developer,yes,4534
no,annual,20,18,81,developer,no,4535
no,monthly,135,8,343,engineering manager,yes,4536
yes,monthly,77,9,165,sales,no,4537
no,annual,130,15,1063,product manager,yes,4538
no,annual,97,7,456,product manager,no,4539
no,annual,36,2,859,product manager,yes,4540
no,annual,4,19,532,product manager,yes,4541
no,annual,29,13,388,developer,no,4542
yes,monthly,55,9,449,designer,no,4543
no,monthly,95,13,73,product manager,yes,4544
no,monthly,21,6,452,product manager,no,4545
no,monthly,91,1,706,engineering manager,no,4546
no,monthly,33,15,91,engineering manager,yes,4547
yes,annual,99,11,1186,marketer,yes,4548
no,monthly,88,3,498,engineering manager,no,4549
no,monthly,77,12,554,engineering manager,no,4550
yes,monthly,24,8,680,designer,no,4551
no,monthly,93,2,680,engineering manager,no,4552
no,annual,97,1,214,developer,yes,4553
no,monthly,79,15,772,engineering manager,no,4554
yes,annual,60,9,1009,developer,no,4555
no,monthly,9,9,612,developer,no,4556
yes,monthly,4,4,1090,engineering manager,yes,4557
yes,monthly,5,8,715,marketer,yes,4558
no,monthly,89,16,155,developer,no,4559
no,monthly,102,20,257,product manager,yes,4560
no,monthly,56,3,288,developer,yes,4561
no,monthly,141,17,1142,developer,yes,4562
yes,monthly,37,10,102,engineering manager,no,4563
no,annual,136,10,211,product manager,no,4564
no,annual,15,10,146,product manager,no,4565
no,monthly,95,13,362,developer,no,4566
yes,annual,23,10,396,product manager,no,4567
no,monthly,12,13,753,developer,no,4568
no,annual,95,3,161,engineering manager,yes,4569
yes,monthly,15,7,518,designer,no,4570
no,monthly,53,3,275,engineering manager,no,4571
no,monthly,48,6,682,engineering manager,no,4572
no,annual,51,12,420,product manager,no,4573
no,annual,105,12,888,engineering manager,yes,4574
no,monthly,77,10,300,product manager,no,4575
no,monthly,80,20,618,engineering manager,no,4576
yes,monthly,15,3,109,designer,no,4577
no,annual,99,9,120,engineering manager,yes,4578
no,monthly,60,5,151,engineering manager,yes,4579
yes,monthly,10,7,752,designer,no,4580
no,monthly,81,3,1115,developer,no,4581
yes,monthly,81,2,797,product manager,no,4582
no,annual,14,13,871,product manager,yes,4583
no,annual,135,17,1132,developer,no,4584
no,annual,15,2,999,engineering manager,no,4585
no,monthly,18,11,776,engineering manager,no,4586
yes,annual,54,9,736,product manager,no,4587
no,annual,141,5,859,product manager,no,4588
no,monthly,59,20,337,engineering manager,no,4589
yes,monthly,87,2,419,engineering manager,yes,4590
no,annual,81,20,144,product manager,no,4591
no,annual,22,12,17,developer,yes,4592
no,monthly,56,0,297,developer,no,4593
yes,annual,18,12,764,marketer,no,4594
no,monthly,12,15,1154,developer,yes,4595
no,annual,103,14,828,engineering manager,no,4596
no,monthly,43,7,444,product manager,yes,4597
no,monthly,112,5,1129,product manager,no,4598
no,monthly,42,0,849,product manager,no,4599
no,annual,72,17,839,engineering manager,yes,4600
yes,monthly,80,2,568,product manager,no,4601
yes,monthly,25,3,887,engineering manager,yes,4602
no,monthly,125,18,214,product manager,yes,4603
no,monthly,11,15,719,developer,yes,4604
yes,monthly,72,12,956,product manager,no,4605
yes,monthly,31,3,23,product manager,yes,4606
no,annual,65,16,162,engineering manager,yes,4607
no,annual,76,4,203,product manager,yes,4608
no,monthly,23,18,917,developer,no,4609
no,monthly,104,9,1100,product manager,no,4610
no,annual,144,18,547,developer,no,4611
no,monthly,48,1,740,product manager,no,4612
no,monthly,101,20,736,engineering manager,no,4613
yes,monthly,90,7,112,developer,yes,4614
no,annual,96,6,346,product manager,no,4615
no,annual,103,7,992,engineering manager,no,4616
no,monthly,14,19,1181,product manager,yes,4617
no,annual,129,8,1032,developer,yes,4618
no,monthly,60,20,959,product manager,no,4619
no,monthly,48,6,353,engineering manager,yes,4620
no,monthly,133,2,71,product manager,no,4621
no,monthly,33,0,529,developer,no,4622
yes,annual,60,10,991,designer,yes,4623
no,annual,76,18,171,product manager,yes,4624
no,monthly,14,9,1183,developer,no,4625
yes,annual,86,12,472,marketer,no,4626
no,monthly,133,3,97,engineering manager,yes,4627
no,monthly,147,0,762,engineering manager,no,4628
no,monthly,120,19,213,engineering manager,no,4629
no,monthly,80,5,1178,developer,no,4630
no,monthly,100,5,765,engineering manager,yes,4631
no,annual,114,3,888,developer,no,4632
yes,monthly,1,7,47,designer,yes,4633
no,monthly,143,4,769,product manager,no,4634
yes,annual,39,6,255,marketer,no,4635
no,monthly,53,8,373,engineering manager,no,4636
yes,monthly,81,2,600,product manager,yes,4637
yes,monthly,33,10,1118,engineering manager,no,4638
yes,monthly,96,7,367,marketer,no,4639
no,monthly,56,10,934,product manager,yes,4640
no,monthly,82,15,1050,developer,yes,4641
yes,monthly,32,5,322,engineering manager,yes,4642
yes,annual,82,6,450,developer,no,4643
no,monthly,48,15,936,engineering manager,no,4644
yes,annual,74,4,670,product manager,no,4645
no,annual,128,19,1114,product manager,no,4646
no,monthly,145,1,1126,product manager,yes,4647
no,monthly,147,19,935,engineering manager,no,4648
no,annual,33,19,1126,engineering manager,no,4649
no,monthly,66,16,1119,engineering manager,no,4650
yes,annual,29,8,658,sales,no,4651
yes,monthly,85,0,1090,engineering manager,yes,4652
yes,monthly,55,11,48,sales,yes,4653
no,monthly,91,19,1085,developer,no,4654
no,monthly,18,1,925,engineering manager,yes,4655
no,monthly,89,3,352,product manager,yes,4656
no,monthly,75,17,946,product manager,yes,4657
no,monthly,126,17,614,developer,yes,4658
yes,monthly,74,12,415,marketer,no,4659
yes,annual,95,6,382,developer,yes,4660
no,annual,95,19,196,developer,no,4661
no,annual,44,17,791,developer,no,4662
no,annual,30,14,1036,developer,yes,4663
no,annual,101,15,778,developer,no,4664
no,monthly,25,17,190,product manager,yes,4665
yes,annual,73,0,201,designer,no,4666
yes,monthly,20,8,217,sales,no,4667
yes,monthly,25,1,412,product manager,no,4668
no,monthly,57,20,46,engineering manager,yes,4669
yes,monthly,83,0,1059,sales,yes,4670
no,monthly,115,15,289,product manager,yes,4671
no,monthly,122,2,358,product manager,no,4672
no,monthly,19,16,506,engineering manager,no,4673
yes,monthly,33,9,1083,developer,no,4674
yes,monthly,13,5,273,developer,no,4675
no,annual,76,5,1090,engineering manager,yes,4676
no,monthly,24,12,982,engineering manager,no,4677
no,monthly,143,16,1158,developer,no,4678
no,monthly,35,15,141,product manager,no,4679
no,monthly,38,5,318,product manager,no,4680
yes,monthly,66,8,598,product manager,yes,4681
yes,monthly,19,8,88,engineering manager,yes,4682
no,monthly,92,10,764,product manager,yes,4683
yes,monthly,82,3,184,product manager,no,4684
no,monthly,89,7,245,engineering manager,no,4685
no,monthly,35,7,111,product manager,no,4686
yes,annual,93,0,717,engineering manager,yes,4687
no,monthly,139,16,123,product manager,yes,4688
yes,annual,26,3,679,product manager,yes,4689
yes,monthly,27,4,829,sales,no,4690
no,monthly,86,8,739,product manager,no,4691
no,monthly,13,11,1195,engineering manager,no,4692
no,monthly,105,0,725,developer,no,4693
no,monthly,106,6,37,developer,no,4694
yes,monthly,4,2,226,designer,no,4695
no,monthly,17,19,603,developer,no,4696
no,monthly,139,5,40,developer,yes,4697
no,annual,143,10,78,developer,no,4698
yes,monthly,27,9,594,designer,no,4699
yes,annual,52,10,146,marketer,yes,4700
yes,monthly,28,12,1013,marketer,yes,4701
no,monthly,107,7,30,product manager,no,4702
no,monthly,39,9,597,engineering manager,no,4703
yes,annual,13,7,965,marketer,yes,4704
no,monthly,65,2,760,product manager,yes,4705
no,monthly,142,15,1063,engineering manager,no,4706
yes,monthly,3,6,33,designer,no,4707
yes,monthly,18,6,40,product manager,no,4708
yes,monthly,81,9,592,product manager,no,4709
yes,monthly,70,2,1138,product manager,no,4710
no,monthly,122,2,1169,product manager,no,4711
no,monthly,148,14,54,product manager,yes,4712
no,annual,129,0,149,engineering manager,yes,4713
no,monthly,10,20,707,engineering manager,yes,4714
no,monthly,148,15,837,developer,yes,4715
no,annual,92,0,587,engineering manager,no,4716
no,monthly,63,17,666,product manager,no,4717
no,monthly,66,19,175,developer,no,4718
no,monthly,147,12,133,engineering manager,yes,4719
no,monthly,148,20,1176,engineering manager,no,4720
no,monthly,71,14,459,developer,yes,4721
no,monthly,21,16,630,developer,yes,4722
yes,monthly,78,5,209,engineering manager,yes,4723
no,monthly,133,10,60,developer,no,4724
no,annual,99,10,721,developer,no,4725
no,annual,106,8,702,engineering manager,no,4726
yes,annual,7,2,675,product manager,yes,4727
no,monthly,89,0,569,engineering manager,yes,4728
no,monthly,55,11,1020,product manager,yes,4729
yes,annual,46,1,554,engineering manager,no,4730
yes,monthly,61,1,1199,product manager,no,4731
no,monthly,0,5,697,engineering manager,yes,4732
no,annual,140,4,384,developer,yes,4733
no,monthly,109,3,448,product manager,no,4734
no,monthly,43,11,859,engineering manager,no,4735
no,annual,146,5,1003,developer,no,4736
no,annual,96,1,228,developer,yes,4737
no,monthly,84,2,366,developer,no,4738
no,monthly,107,3,252,product manager,no,4739
no,annual,49,20,189,product manager,yes,4740
no,monthly,115,9,327,product manager,no,4741
no,monthly,32,5,362,developer,no,4742
no,monthly,82,9,9,product manager,no,4743
no,monthly,60,12,828,engineering manager,yes,4744
no,monthly,10,6,250,engineering manager,yes,4745
yes,annual,70,3,1109,sales,yes,4746
yes,monthly,37,11,516,designer,yes,4747
no,monthly,92,1,721,engineering manager,no,4748
yes,annual,98,2,668,marketer,no,4749
yes,monthly,87,0,999,engineering manager,no,4750
yes,monthly,95,2,1092,sales,no,4751
no,monthly,94,11,1081,engineering manager,no,4752
yes,annual,20,3,998,sales,no,4753
no,monthly,62,8,594,engineering manager,yes,4754
yes,monthly,40,3,621,engineering manager,no,4755
no,annual,77,12,426,developer,no,4756
no,annual,43,17,846,engineering manager,no,4757
no,annual,143,19,627,product manager,yes,4758
no,monthly,96,14,110,developer,yes,4759
yes,annual,10,1,1097,designer,yes,4760
no,annual,107,5,777,developer,yes,4761
no,monthly,106,6,656,developer,yes,4762
no,monthly,130,4,191,product manager,no,4763
no,monthly,100,5,854,product manager,yes,4764
no,monthly,131,14,405,product manager,no,4765
yes,monthly,20,5,923,developer,no,4766
yes,annual,47,12,1176,engineering manager,no,4767
yes,monthly,69,4,168,developer,no,4768
no,monthly,72,16,826,product manager,yes,4769
no,monthly,108,19,80,engineering manager,no,4770
no,monthly,60,9,36,developer,no,4771
no,monthly,107,5,307,developer,no,4772
yes,annual,2,9,889,engineering manager,yes,4773
yes,annual,66,6,813,engineering manager,yes,4774
no,monthly,133,18,669,product manager,no,4775
no,monthly,64,15,253,engineering manager,no,4776
no,monthly,86,20,951,developer,no,4777
yes,annual,59,3,218,designer,no,4778
no,monthly,63,18,1187,product manager,yes,4779
no,monthly,61,8,52,product manager,yes,4780
no,monthly,46,11,249,product manager,no,4781
no,monthly,118,11,530,developer,no,4782
yes,monthly,51,2,914,designer,no,4783
no,monthly,130,17,281,engineering manager,no,4784
no,annual,148,10,242,engineering manager,yes,4785
no,annual,76,0,456,developer,no,4786
no,monthly,32,12,1161,engineering manager,yes,4787
no,monthly,34,7,313,developer,no,4788
no,annual,40,5,735,product manager,yes,4789
no,monthly,123,11,1047,product manager,no,4790
no,monthly,19,4,536,developer,no,4791
no,monthly,114,5,351,developer,no,4792
no,monthly,124,5,974,engineering manager,yes,4793
no,annual,148,19,331,engineering manager,no,4794
no,annual,50,18,801,engineering manager,yes,4795
no,monthly,0,9,594,engineering manager,yes,4796
yes,annual,46,8,645,marketer,no,4797
no,annual,64,18,376,developer,yes,4798
no,annual,89,14,1197,engineering manager,yes,4799
no,annual,51,14,225,engineering manager,yes,4800
no,monthly,92,20,1072,product manager,yes,4801
no,monthly,135,18,882,engineering manager,no,4802
no,monthly,130,14,627,product manager,yes,4803
yes,monthly,63,6,231,developer,yes,4804
yes,annual,83,11,1181,designer,no,4805
no,monthly,43,12,712,developer,yes,4806
no,monthly,65,15,339,developer,no,4807
no,monthly,84,10,905,developer,no,4808
no,monthly,133,0,649,product manager,yes,4809
no,annual,105,1,1059,product manager,no,4810
yes,monthly,14,0,865,designer,no,4811
no,monthly,74,20,239,engineering manager,yes,4812
yes,annual,54,4,1095,developer,yes,4813
no,monthly,67,11,1069,product manager,no,4814
no,monthly,85,7,1075,engineering manager,no,4815
no,monthly,106,9,480,engineering manager,yes,4816
no,monthly,66,20,761,engineering manager,no,4817
yes,monthly,61,9,562,designer,no,4818
no,monthly,28,16,361,product manager,no,4819
no,monthly,49,14,1020,product manager,yes,4820
no,monthly,140,17,451,developer,yes,4821
no,monthly,36,18,663,engineering manager,yes,4822
no,annual,130,11,787,engineering manager,no,4823
no,annual,54,19,379,engineering manager,no,4824
no,monthly,48,4,861,product manager,no,4825
no,monthly,85,10,290,engineering manager,no,4826
no,monthly,100,5,1125,engineering manager,no,4827
yes,monthly,25,5,719,product manager,no,4828
yes,monthly,86,10,405,developer,yes,4829
no,monthly,94,6,575,product manager,yes,4830
no,monthly,82,1,250,product manager,no,4831
no,monthly,55,19,508,product manager,no,4832
no,monthly,139,12,466,engineering manager,yes,4833
no,annual,14,1,428,developer,yes,4834
yes,monthly,69,1,777,product manager,no,4835
yes,monthly,14,1,1041,engineering manager,no,4836
no,annual,117,18,500,engineering manager,no,4837
no,monthly,121,13,938,engineering manager,no,4838
yes,monthly,69,7,919,designer,yes,4839
no,annual,73,7,1,engineering manager,no,4840
no,monthly,35,7,1171,product manager,no,4841
yes,annual,93,9,1186,designer,no,4842
no,monthly,4,18,299,engineering manager,yes,4843
no,monthly,127,13,1069,product manager,yes,4844
no,annual,0,3,1185,engineering manager,no,4845
yes,monthly,40,0,41,engineering manager,yes,4846
yes,monthly,60,10,130,developer,no,4847
yes,monthly,94,11,593,marketer,no,4848
no,monthly,92,10,107,engineering manager,no,4849
no,monthly,146,13,858,product manager,yes,4850
no,monthly,124,11,719,developer,yes,4851
no,annual,70,9,1185,engineering manager,no,4852
no,annual,147,14,366,developer,yes,4853
no,monthly,75,19,302,developer,no,4854
no,monthly,67,18,1104,engineering manager,no,4855
yes,annual,16,4,465,developer,yes,4856
yes,monthly,58,2,628,developer,no,4857
no,monthly,73,12,659,product manager,yes,4858
yes,monthly,63,2,104,designer,yes,4859
yes,annual,90,4,680,sales,no,4860
no,monthly,127,11,395,developer,yes,4861
no,monthly,136,12,62,product manager,yes,4862
no,monthly,30,10,64,product manager,yes,4863
no,monthly,39,15,1153,product manager,no,4864
no,monthly,78,5,42,engineering manager,no,4865
no,monthly,55,15,332,developer,yes,4866
no,monthly,139,19,1063,developer,no,4867
yes,annual,0,10,518,engineering manager,yes,4868
no,monthly,138,8,1024,product manager,no,4869
yes,monthly,10,7,458,developer,yes,4870
yes,monthly,80,1,922,designer,no,4871
no,monthly,142,2,750,product manager,yes,4872
no,monthly,121,3,1057,developer,no,4873
yes,annual,67,6,936,product manager,yes,4874
no,annual,80,7,70,product manager,yes,4875
yes,monthly,80,4,1135,marketer,no,4876
no,monthly,36,19,861,engineering manager,yes,4877
yes,monthly,60,12,265,developer,no,4878
no,monthly,77,6,922,engineering manager,no,4879
yes,monthly,71,5,297,developer,no,4880
no,monthly,12,18,364,developer,yes,4881
yes,monthly,32,2,257,engineering manager,yes,4882
no,annual,131,15,417,developer,no,4883
no,monthly,141,17,298,developer,no,4884
yes,monthly,28,1,518,sales,no,4885
no,monthly,51,1,803,developer,yes,4886
no,monthly,51,0,195,product manager,yes,4887
no,monthly,138,15,1192,engineering manager,yes,4888
yes,monthly,68,4,1149,product manager,yes,4889
yes,monthly,9,5,14,designer,yes,4890
no,monthly,127,12,506,developer,yes,4891
yes,annual,76,0,836,designer,yes,4892
no,monthly,37,19,889,engineering manager,no,4893
no,monthly,38,4,1193,product manager,yes,4894
no,monthly,148,14,78,developer,no,4895
no,monthly,30,8,301,product manager,no,4896
yes,annual,53,2,261,marketer,no,4897
yes,monthly,2,8,327,marketer,yes,4898
